date	user_id	downloads
2020-08-24	1	6
2020-08-22	2	6
2020-08-18	3	2
2020-08-24	4	4
2020-08-19	5	7
2020-08-21	6	3
2020-08-24	7	1
2020-08-24	8	8
2020-08-17	9	5
2020-08-16	10	4
2020-08-22	11	8
2020-08-19	12	6
2020-08-15	13	3
2020-08-21	14	0
2020-08-24	15	0
2020-08-15	16	5
2020-08-18	17	5
2020-08-23	18	8
2020-08-15	19	6
2020-08-25	20	4
2020-08-16	21	1
2020-08-25	22	4
2020-08-22	23	7
2020-08-21	24	4
2020-08-25	25	5
2020-08-23	26	6
2020-08-19	27	9
2020-08-24	28	3
2020-08-20	29	0
2020-08-25	30	8
2020-08-20	31	5
2020-08-21	32	8
2020-08-15	33	6
2020-08-24	34	4
2020-08-25	35	1
2020-08-24	36	7
2020-08-17	37	8
2020-08-16	38	8
2020-08-17	39	1
2020-08-20	40	8
2020-08-18	41	3
2020-08-16	42	0
2020-08-23	43	9
2020-08-25	44	9
2020-08-16	45	2
2020-08-15	46	2
2020-08-21	47	1
2020-08-21	48	4
2020-08-22	49	8
2020-08-17	50	6
2020-08-21	51	4
2020-08-20	52	7
2020-08-16	53	7
2020-08-20	54	6
2020-08-20	55	0
2020-08-21	56	8
2020-08-18	57	5
2020-08-17	58	2
2020-08-24	59	3
2020-08-20	60	7
2020-08-22	61	8
2020-08-15	62	6
2020-08-23	63	3
2020-08-17	64	4
2020-08-16	65	4
2020-08-16	66	3
2020-08-19	67	1
2020-08-18	68	2
2020-08-17	69	4
2020-08-22	70	7
2020-08-20	71	6
2020-08-15	72	2
2020-08-17	73	7
2020-08-22	74	1
2020-08-17	75	8
2020-08-19	76	0
2020-08-25	77	1
2020-08-25	78	0
2020-08-17	79	8
2020-08-23	80	7
2020-08-24	81	2
2020-08-21	82	0
2020-08-24	83	4
2020-08-21	84	0
2020-08-25	85	7
2020-08-22	86	1
2020-08-20	87	2
2020-08-19	88	3
2020-08-22	89	8
2020-08-24	90	0
2020-08-22	91	9
2020-08-25	92	7
2020-08-25	93	0
2020-08-17	94	1
2020-08-23	95	2
2020-08-24	96	3
2020-08-21	97	8
2020-08-24	98	0
2020-08-21	99	9
2020-08-25	100	7