user_id	acc_id
1	716
2	749
3	713
4	744
5	726
6	706
7	750
8	732
9	706
10	729
11	748
12	731
13	739
14	740
15	705
16	706
17	701
18	746
19	726
20	748
21	701
22	707
23	710
24	702
25	720
26	730
27	721
28	733
29	732
30	729
31	716
32	722
33	745
34	737
35	730
36	729
37	723
38	710
39	707
40	737
41	717
42	741
43	718
44	736
45	720
46	743
47	707
48	721
49	748
50	715
51	709
52	732
53	732
54	712
55	701
56	721
57	744
58	724
59	727
60	743
61	744
62	717
63	723
64	713
65	706
66	731
67	722
68	744
69	705
70	703
71	725
72	740
73	713
74	732
75	720
76	709
77	739
78	703
79	732
80	728
81	737
82	711
83	745
84	734
85	723
86	718
87	702
88	718
89	744
90	710
91	727
92	739
93	728
94	740
95	744
96	737
97	726
98	722
99	727
100	712