account_id	entry_date	users_visited_7d	final_price	plan_size
A01	2022-02-07	1	100	10
A03	2022-02-07	30	400	50
A01	2022-02-08	3	100	10
A03	2022-02-08	39	400	50
A05	2022-02-08	14	400	50
A01	2022-02-09	12	100	10
A03	2022-02-09	44	400	50
A04	2022-02-09	25	0	70
A05	2022-02-09	32	400	50
A01	2022-02-10	17	100	10
A02	2022-02-10	82	800	100
A03	2022-02-10	60	400	50
A04	2022-02-10	72	0	70
A05	2022-02-10	45	400	50
A01	2022-02-11	26	100	10
A02	2022-02-11	102	800	100
A03	2022-02-11	76	400	50
A04	2022-02-11	115	0	70
A05	2022-02-11	50	400	50
A01	2022-02-12	28	100	10
A02	2022-02-12	181	800	100
A03	2022-02-12	104	400	50
A04	2022-02-12	140	20	70
A01	2022-02-13	29	100	10
A02	2022-02-13	235	800	100
A03	2022-02-13	113	400	50
A04	2022-02-13	154	20	70
A01	2022-02-14	34	100	10
A02	2022-02-14	305	800	100
A03	2022-02-14	117	400	50
A04	2022-02-14	195	20	70
A01	2022-02-15	38	100	10
A02	2022-02-15	389	800	100
A03	2022-02-15	127	400	50
A04	2022-02-15	253	20	70
A01	2022-02-16	35	100	10
A02	2022-02-16	412	800	100
A03	2022-02-16	143	0	50
A04	2022-02-16	276	20	70
A05	2022-02-16	31	250	20
A01	2022-02-17	38	100	10
A02	2022-02-17	400	800	100
A03	2022-02-17	172	0	50
A04	2022-02-17	276	20	70
A05	2022-02-17	26	250	20
A02	2022-02-18	310	800	100
A03	2022-02-18	186	0	50
A04	2022-02-18	239	20	70
A02	2022-02-19	142	800	100
A03	2022-02-19	189	0	50
A04	2022-02-19	228	20	70
A03	2022-02-20	191	0	50
A04	2022-02-20	264	20	70
A05	2022-02-20	25	350	30